source_id,identifier,title,authors,journal_or_office,publication_date,source_file_name,source_type
SRC_0061,2025219859,"COMBINATION THERAPY TO TREAT OVERWEIGHT, OBESITY, AND RELATED HEALTH CONDITIONS",,WO,2025-10-23,032-615-179-300-486.txt,Patent
SRC_0062,5618696,Human kunitz-type protease inhibitor and variants thereof,,US,1997-04-08,146-346-503-176-562.txt,Patent
SRC_0063,US6783960,Chimeric proteins,,United States Patent and Trademark Office,2004-08-31,042-495-287-177-699.txt,Patent
SRC_0064,20020197667,Chimeric proteins,,US,2002-12-26,121-450-879-908-20X.txt,Patent
SRC_0065,C0HJS1,,Nguyen K.N.,FEBS J.,2016,UniProt,UniProt
SRC_0066,C0HJS0,,Nguyen K.N.,FEBS J.,2016,UniProt,UniProt
SRC_0067,,FUSION PROTEINS COMPRISING AN ENGINEERED KNOTTIN PEPTIDE AND USES THEREOF,,,,189-210-544-509-332.txt,Literature
SRC_0068,20050089515,Poly-pegylated protease inhibitors,,US,2005-04-28,040-184-780-015-203.txt,Patent
SRC_0069,US 20110172140,Poly-Pegylated Protease Inhibitors,,,2011-07-14,192-436-106-110-399.txt,Patent
SRC_0070,2DDJ_1,,"Liepinsh, E., Nagy, A., Trexler, M., Patthy, L., Otting, G.",Second Kunitz-type protease inhibitor domain of the human WFIKKN1 protein,2006,PDB,PDB
SRC_0071,10.1016/j.pep.2016.03.003,"Two variants of the major serine protease inhibitor from the sea anemone Stichodactyla helianthus, expressed in Pichia pastoris","Rossana García-Fernández, Patrick Ziegelmüller, Lidice González, Manuel Mansur, Yoan Machado, Lars Redecke, Ulrich Hahn, Christian Betzel, María de los Ángeles Chávez",Protein Expression and Purification,2016,"García-Fernández 等 - 2016 - Two variants of the major serine protease inhibitor from the sea anemone Stichodactyla helianthus, e.pdf",Literature
SRC_0072,EP 2311432,Polypeptides mit modifizierten Kunitz Domains und deren Verwendung zur Verringerung der Ischämie oder des Beginns einer systemischen Entzündungsreaktion verbunden mit einer chirurgischen Prozedur,,EP,2011-04-20,067-914-850-095-299.txt,Patent
SRC_0073,EP1941867,Polypeptid mit modifizierten Kunitz Domains,,EP,2008-07-09,190-866-204-387-348.txt,Patent
SRC_0074,US20060111296,Plasmin-inhibitory therapies,,US,2006-05-25,094-184-480-086-500.txt,Patent
SRC_0075,20080274969,Albumin-Fused Kunitz Domain Peptides,,US,2008-11-06,040-145-165-020-199.txt,Patent
SRC_0076,20110092413,Albumin-Fused Kunitz Domain Peptides,,US,2011-04-21,135-959-686-421-972.txt,Patent
SRC_0077,,SODIUM CHANNEL INHIBITORS,,,2019-01-17,089-854-230-115-822.txt,Literature
SRC_0078,P0DOC5,,Osteen J.D.,Nature,2016,UniProt,UniProt
SRC_0079,P83480,,Middleton R.E.,Biochemistry,2002,UniProt,UniProt
SRC_0080,P60514,,Escoubas P.,J. Biol. Chem.,2000,UniProt,UniProt
SRC_0081,10.1371/journal.pone.0076956,Combinatorial Optimization of Cystine-Knot Peptides towards High-Affinity Inhibitors of Human Matriptase-1,"Bernhard Glotzbach, Michael Reinwarth, Niklas Weber, Sebastian Fabritz, Michael Tomaszowski, Heiko Fittler, Andreas Christmann, Olga Avrutina, Harald Kolmar",PLoS ONE,2013,Glotzbach 等 - 2013 - Combinatorial optimization of cystine-knot peptides towards high-affinity inhibitors of human matrip.pdf,Literature
SRC_0082,C0HLB2,,Banijamali S.E.,Arch. Biochem. Biophys.,2019,UniProt,UniProt
SRC_0083,10.1074/jbc.M212152200,Design and Characterization of a Hybrid Miniprotein That Specifically Inhibits Porcine Pancreatic Elastase,"Kai Hilpert, Helga Wessner, Jens Schneider-Mergener, Karin Welfle, Rolf Misselwitz, Heinz Welfle, Andreas C. Hocke, Stefan Hippenstiel, and Wolfgang Hohne",The Journal of Biological Chemistry,2003,Hilpert 等 - 2003 - Design and characterization of a hybrid miniprotein that specifically inhibits porcine pancreatic el.pdf,Literature
SRC_0084,1IRH_1,,"Mine, S., Yamazaki, T., Miyata, T., Hara, S., Kato, H.",Structural mechanism for heparin-binding of the third Kunitz domain of human tissue factor pathway inhibitor.,2002,PDB,PDB
SRC_0085,5914315,Human Kunitz-type inhibitors and compositions thereof,,US,1999-06-22,035-935-995-507-751.txt,Patent
SRC_0086,5629176,Human Kunitz-type protease inhibitor variants,,US,1997-05-13,104-887-839-080-060.txt,Patent
SRC_0087,5441931,Human amyloid protein precursor homologue and Kunitz-type inhibitors,,US,1995-08-15,169-369-581-339-319.txt,Patent
SRC_0088,10766946,Fast-off rate serum albumin binding fibronectin type III domains,,US,2020-09-08,186-626-474-329-888.txt,Patent
SRC_0089,10995131,Libraries of modified fibronectin type III tenth domain-containing polypeptides,,US,2021-05-04,014-928-434-037-14X.txt,Patent
SRC_0090,5962266,Protease inhibitor peptides,,US,1999-10-05,192-472-528-035-147.txt,Patent
SRC_0091,P24541,,Siddiqi A.R.,FEBS Lett.,1991,UniProt,UniProt
SRC_0092,G3TCD7,,Di Palma F.,,JUN-2009,UniProt,UniProt
SRC_0093,1JJS_1,,"Lin, C.H., Hare, B.J., Wagner, G., Harrison, S.C., Maniatis, T., Fraenkel, E.",A small domain of CBP/p300 binds diverse proteins: solution structure and functional studies.,2001.0,PDB,PDB
SRC_0094,10385115,Fibronectin type III domain-based fusion proteins,,US,2019-08-20,033-385-106-470-156.txt,Patent
SRC_0095,7ZMX_1,,"Ferreras-Gutierrez, M., Chaves-Arquero, B., Gonzalez-Magana, A., Merino, N., Amusategui-Mateu, I., Huecas, S., Medrano, F.J., Blanco, F.J.",Structural analysis of ING3 protein and histone H3 binding.,2023,PDB,PDB
SRC_0096,2M2R_1,,"He, W.J., Chan, L.Y., Clark, R.J., Tang, J., Zeng, G.Z., Franco, O.L., Cantacessi, C., Craik, D.J., Daly, N.L., Tan, N.H.",Novel Inhibitor Cystine Knot Peptides from Momordica charantia.,2013.0,PDB,PDB
SRC_0097,2M2Q_1,,"He, W.J., Chan, L.Y., Clark, R.J., Tang, J., Zeng, G.Z., Franco, O.L., Cantacessi, C., Craik, D.J., Daly, N.L., Tan, N.H.",Novel Inhibitor Cystine Knot Peptides from Momordica charantia.,2013.0,PDB,PDB
SRC_0098,11498952,Fusion proteins comprising an engineered knottin peptide and uses thereof,Cochran et al.,US,2022-11-15,073-772-117-811-172.txt,Patent
SRC_0099,20170355735,CONJUGATED KNOTTIN MINI-PROTEINS CONTAINING NON-NATURAL AMINO ACIDS,,US,2017-12-14,022-642-141-057-426.txt,Patent
SRC_0100,,The cystine knot of a squash-type protease inhibitor as a structural scaffold for Escherichia coli cell surface display of conformationally constrained peptides,"Andreas Christmann, Kerstin Walter, Alexander Wentzel, Ralph Krätzner and Harald Kolmar",Protein Engineering,1999,PE_1999_The cystine knot of a squash-type protease inhibitor as a structural scaffold for escherichia coli cell surface display of conformationally constrained peptides.pdf,Literature
SRC_0101,20230174596,CYSTINE KNOT SCAFFOLD PLATFORM,,US,2023-06-08,191-807-236-438-126.txt,Patent
SRC_0102,US 9206237,Cystine knot peptides that bind alpha-V-beta-6 integrin,,US,2015-12-08,146-538-190-783-017.txt,Patent
SRC_0103,10.1158/1078-0432.CCR-11-1116,Pharmacokinetically Stabilized Cystine Knot Peptides that Bind Alpha-v-Beta-6 Integrin with Single-Digit Nanomolar Affinities for Detection of Pancreatic Cancer,"Richard H. Kimura, Robert Teed, Benjamin J. Hackel, Marybeth A. Pysz, Courtney Z. Chuang, Ataya Sathirachinda, Jürgen K. Willmann, and Sanjiv S. Gambhir",Clin Cancer Res,2012,Kimura 等 - 2012 - Pharmacokinetically stabilized cystine knot peptides that bind alpha-v-beta-6 integrin with single-d.pdf,Literature
SRC_0104,10.1158/1078-0432.CCR-11-1116,Pharmacokinetically Stabilized Cystine Knot Peptides that Bind Alpha-v-Beta-6 Integrin with Single-Digit Nanomolar Affinities for Detection of Pancreatic Cancer,"Richard H. Kimura, Robert Teed, Benjamin J. Hackel, Marybeth A. Pysz, Courtney Z. Chuang, Ataya Sathirachinda, Jürgen K. Willmann, and Sanjiv S. Gambhir",Clin Cancer Res,2012 February 1,Kimura 等 - 2012 - Pharmacokinetically stabilized cystine knot peptides that bind alpha-v-beta-6 integrin with single-d.pdf,Literature
SRC_0105,US 9206237,Cystine knot peptides that bind alpha-V-beta-6 integrin,,US,2015-12-08,146-538-190-783-017.txt,Patent
SRC_0106,10.1371/journal.pone.0016112,Functional Mutation of Multiple Solvent-Exposed Loops in the Ecballium elaterium Trypsin Inhibitor-II Cystine Knot Miniprotein,"Richard H. Kimura, Douglas S. Jones, Lei Jiang, Zheng Miao, Zhen Cheng, Jennifer R. Cochran",PLoS ONE,2011,Kimura 等 - 2011 - Functional mutation of multiple solvent-exposed loops in the Ecballium elaterium trypsin inhibitor-I.pdf,Literature
SRC_0107,10.2967/jnumed.109.068007,Targeted Contrast-Enhanced Ultrasound Imaging of Tumor Angiogenesis with Contrast Microbubbles Conjugated to Integrin-Binding Knottin Peptides,"Jürgen K. Willmann, Richard H. Kimura, Nirupama Deshpande, Amelie M. Lutz, Jennifer R. Cochran, and Sanjiv S. Gambhir",J Nucl Med,2010 March,Willmann 等 - 2010 - Targeted contrast-enhanced ultrasound imaging of tumor angiogenesis with contrast microbubbles conju.pdf,Literature
SRC_0108,11498952,Fusion proteins comprising an engineered knottin peptide and uses thereof,Cochran et al.,US,2022-11-15,073-772-117-811-172.txt,Patent
SRC_0109,10.1002/prot.22441,"Engineered cystine knot peptides that bind αvβ3, αvβ5, and α5β1 integrins with low nanomolar affinity","Richard H Kimura, Aron M Levin, and Jennifer R Cochran",Proteins,2009 November 01,"Kimura 等 - 2009 - Engineered cystine knot peptides that bind alphavbeta3, alphavbeta5, and alpha5beta1 integrins with.pdf",Literature
SRC_0110,9587001,Conjugated knottin mini-proteins containing non-natural amino acids,,US,2017-03-07,145-028-665-752-673.txt,Patent
SRC_0111,,PET Imaging of Integrin Positive Tumors Using 18F Labeled Knottin Peptides,"Shuanglong Liu, Hongguang Liu, Gang Ren, Richard H. Kimura, Jennifer R. Cochran, Zhen Cheng",Theranostics,2011,Liu 等 - 2011 - PET imaging of integrin positive tumors using F labeled knottin peptides.pdf,Literature
SRC_0112,20200239531,CONJUGATED KNOTTIN MINI-PROTEINS CONTAINING NON-NATURAL AMINO ACIDS,,US,2020-07-30,127-023-610-504-191.txt,Patent
SRC_0113,11498952,Fusion proteins comprising an engineered knottin peptide and uses thereof,Cochran et al.,US,2022-11-15,073-772-117-811-172.txt,Patent
SRC_0114,10.1016/j.str.2019.06.011,Structural Basis of the Differential Binding of Engineered Knottins to Integrins aVb3 and a5b1,"Johannes F. Van Agthoven, Hengameh Shams, Frank V. Cochran, Jose L. Alonso, James R. Kintzing, Kiavash Garakani, Brian D. Adair, Jian-Ping Xiong, Mohammad R.K. Mofrad, Jennifer R. Cochran, M. Amin Arnaout",Structure,"September 3, 2019",Van Agthoven 等 - 2019 - Structural basis of the differential binding of engineered knottins to integrins αVβ3 and α5β1.pdf,Literature
SRC_0115,10.1158/1535-7163.MCT-15-0881,Targeted Drug Delivery with an Integrin-Binding Knottin–Fc–MMAF Conjugate Produced by Cell-Free Protein Synthesis,"Nicolas V. Currier, Shelley E. Ackerman, James R. Kintzing, Rishard Chen, Maria Filsinger Interrante, Alexander Steiner, Aaron K. Sato, and Jennifer R. Cochran",Molecular Cancer Therapeutics,2016,Currier 等 - 2016 - Targeted drug delivery with an integrin-binding knottin-fc-MMAF conjugate produced by cell-free prot.pdf,Literature
SRC_0116,,Integrin Antagonists,,US,2017-02-16,066-754-057-766-679.txt,Patent
SRC_0117,10533044,Integrin Antagonists,,US,2020-01-14,108-525-659-808-824.txt,Patent
SRC_0118,20200231636,CYSTINE KNOT SCAFFOLD PLATFORM,,US,2020-07-23,021-862-672-756-62X.txt,Patent
SRC_0119,10.2967/jnumed.112.110759,18F-Fluorobenzoate–Labeled Cystine Knot Peptides for PET Imaging of Integrin αvβ6,"Benjamin J. Hackel, Richard H. Kimura, Zheng Miao, Hongguang Liu, Ataya Sathirachinda, Zhen Cheng, Frederick T. Chin, and Sanjiv S. Gambhir",J Nucl Med,2013 July,Hackel 等 - 2013 - 18F-fluorobenzoate-labeled cystine knot peptides for PET imaging of integrin αvβ6.pdf,Literature
SRC_0120,US20140010757A1,IMAGING METHODS USING ENGINEERED INTEGRIN BINDING PEPTIDES,,US,2014-01-09,151-392-711-118-920.txt,Patent
SRC_0121,10.1080/09537100500436663,Inhibition of platelet aggregation by grafting RGD and KGD sequences on the structural scaffold of small disulfide-rich proteins,"SANDY REISS, MATTHIAS SIEBER, VOLKER OBERLE, ALEXANDER WENTZEL, PETER SPANGENBERG, RALF CLAUS, HARALD KOLMAR, & WOLFGANG LÖSCHE",Platelets,May 2006,Reiss 等 - 2006 - Inhibition of platelet aggregation by grafting RGD and KGD sequences on the structural scaffold of s.pdf,Literature
SRC_0122,10.1016/j.jmb.2008.11.004,Engineered Cystine-Knot Peptides That Bind αvβ3 Integrin With Antibody-Like Affinities,"Adam P. Silverman, Aron M. Levin, Jennifer L. Lahti, Jennifer R. Cochran",J Mol Biol,2009 January 30,Silverman 等 - 2009 - Engineered cystine-knot peptides that bind alpha(v)beta(3) integrin with antibody-like affinities.pdf,Literature
SRC_0123,10.2967/jnumed.109.069831,Evaluation of a 64Cu-Labeled Cystine-Knot Peptide Based on Agouti-Related Protein for PET of Tumors Expressing αvβ3 Integrin,"Lei Jiang, Richard H. Kimura, Zheng Miao, Adam P. Silverman, Gang Ren, Hongguang Liu, Peiyong Li, Sanjiv Sam Gambhir, Jennifer R. Cochran, and Zhen Cheng",J Nucl Med,2010,Jiang 等 - 2010 - Evaluation of a (64)Cu-labeled cystine-knot peptide based on agouti-related protein for PET of tumor.pdf,Literature
SRC_0124,8778888,Cystine knot peptides binding to alpha IIb beta 3 integrins and methods of use,Cochran et al.,US,2014-07-15,089-791-695-608-496.txt,Patent
SRC_0125,9587001,Conjugated knottin mini-proteins containing non-natural amino acids,,US,2017-03-07,145-028-665-752-673.txt,Patent
SRC_0126,20200239531,CONJUGATED KNOTTIN MINI-PROTEINS CONTAINING NON-NATURAL AMINO ACIDS,,US,2020-07-30,127-023-610-504-191.txt,Patent
SRC_0127,10.1158/0008-5472.CAN-08-2495,Engineered Knottin Peptides: A New Class of Agents for Imaging Integrin Expression in Living Subjects,"Richard H Kimura, Zhen Cheng, Sanjiv Sam Gambhir, and Jennifer R Cochran",Cancer Res.,2009 March 15,Kimura 等 - 2009 - Engineered knottin peptides a new class of agents for imaging integrin expression in living subject.pdf,Literature
SRC_0128,10.1002/prot.22441,"Engineered cystine knot peptides that bind αvβ3, αvβ5, and α5β1 integrins with low nanomolar affinity","Richard H Kimura, Aron M Levin, and Jennifer R Cochran",Proteins,2009 November 01,"Kimura 等 - 2009 - Engineered cystine knot peptides that bind alphavbeta3, alphavbeta5, and alpha5beta1 integrins with.pdf",Literature
SRC_0129,C0HKH4,,Nguyen G.K.,J. Biol. Chem.,2012,UniProt,UniProt
SRC_0130,P60254,,Fajloun Z.,FEBS Lett.,2000,UniProt,UniProt
SRC_0131,2021186035,CYCLOTIDES IN COMBINATION WITH KAPPA OPIOID RECEPTOR LIGANDS FOR MS THERAPY,,WO,2021-09-23,081-731-080-045-636.txt,Patent
SRC_0132,US 8772236,Truncated cystine-knot proteins,,US Patent,2014-07-08,059-519-326-775-546.txt,Patent
SRC_0133,B3EWF1,,Pinto M.F.,J. Biol. Chem.,2012,UniProt,UniProt
SRC_0134,WO/2014/057284,TRANSLOCATING PEPTIDE,,WO,2014-04-17,085-072-564-152-699.txt,Patent
SRC_0135,10.1074/jbc.M113.460030,High-affinity Cyclic Peptide Matriptase Inhibitors,"Pedro Quimbar, Uru Malik, Christian P. Sommerhoff, Quentin Kaas, Lai Y. Chan, Yen-Hua Huang, Maresa Grundhuber, Kerry Dunse, David J. Craik, Marilyn A. Anderson, and Norelle L. Daly",JOURNAL OF BIOLOGICAL CHEMISTRY,"May 10, 2013",Quimbar 等 - 2013 - High-affinity cyclic peptide matriptase inhibitors.pdf,Literature
SRC_0136,10.3390/ph14010007,Repurposing the McoTI-II Rigid Molecular Scaffold in to Inhibitor of ‘Papain Superfamily’ Cysteine Proteases,"Manasi Mishra, Vigyasa Singh, Meenakshi B. Tellis, Rakesh S. Joshi and Shailja Singh",Pharmaceuticals,2020-12-23,Mishra 等 - 2020 - Repurposing the McoTI-II rigid molecular scaffold in to inhibitor of 'papain superfamily' cysteine p.pdf,Literature
SRC_0137,5WOW_1,,"Kwon, S., Duarte, J.N., Li, Z., Ling, J.J., Cheneval, O., Durek, T., Schroeder, C.I., Craik, D.J., Ploegh, H.L.",Targeted Delivery of Cyclotides via Conjugation to a Nanobody.,2018.0,PDB,PDB
SRC_0138,P85135,,Plan M.R.R.,ChemBioChem,2007,UniProt,UniProt
SRC_0139,P85134,,Plan M.R.R.,ChemBioChem,2007,UniProt,UniProt
SRC_0140,P82230,,Craik D.J.,J. Mol. Biol.,1999,UniProt,UniProt
SRC_0141,P86901,,Poth A.G.,Proc. Natl. Acad. Sci. U.S.A.,2011,UniProt,UniProt
SRC_0142,P84641,,Gustafson K.R.,J. Nat. Prod.,2000,UniProt,UniProt
SRC_0143,C0HKG3,,Nguyen G.K.,J. Biol. Chem.,2011,UniProt,UniProt
SRC_0144,P58436,,Craik D.J.,J. Mol. Biol.,1999,UniProt,UniProt
SRC_0145,P83840,,Svangard E.,J. Nat. Prod.,2004,UniProt,UniProt
